techname,heatrate,heatrate2,F,capLB,capUB,new,renewable,solar,thermal,e,e2,c,c2
Hydro/Nuclear,10,0,0,1,1,0,0,0,0,0,0,10,0
Existing 1,6.67199,0.0929123,0,7.5,11.5,0,0,0,1,0.3601844,0.0048861,23.351965,0.32519305
Existing 2,9.794118,0.2862473,0,10.5,14.5,0,0,0,1,0.5461344,0.0110777,34.279413,1.00186555
Existing 3,13.81812,20.53516,0,0.578,0.578,0,0,0,1,0.8167681,0.2344758,48.36342,71.87306
New Gas,6.6,0,978,0,100,1,0,0,1,0.35,0,23.351965,0.32519305
Wind,0,0,1250,0,100,1,1,0,0,0,0,0,0
Solar,0,0,1250,0,100,1,1,1,0,0,0,0,0
